nyt_name,slug,state_id
Gregorio 'Kilili' Camacho Sablan,gregorio-kilili-camacho-sablan,MP
Michael Bennet,michael-bennet,CO
Duncan  Hunter,duncan-d-hunter,CA
Andy Harris,andy-harris,MD
Steve Womack,steve-womack,AR
Rich Nugent,richard-nugent,FL
Todd Young,todd-young,IN
Bill Huizenga,bill-huizenga,MI
Justin Amash,justin-amash,MI
Renee Ellmers,renee-ellmers,NC
Rick Berg,rick-berg,ND
Nan Hayworth,nan-hayworth,NY
Chris Gibson,chris-gibson,NY
Ann Marie Buerkle,ann-marie-buerkle,NY
Bob Gibbs,bob-gibbs,OH
James Lankford ,james-lankford,OK
Patrick Meehan ,pat-meehan,PA
David Cicilline ,david-cicilline,RI
Mike Quigley,mike-quigley,IL
Scott Murphy,scott-murphy,NY
Rand Paul,rand-paul,KY
Bill Owens,bill-owens,NY
Scott P. Brown,scott-brown,MA
Ted Deutch,ted-deutch,FL
Marlin Stutzman,marlin-stutzman,IN
Charles K. Djou,charles-djou,HI
Mike Lee,mike-lee,UT
Trey Gowdy ,trey-gowdy,SC
Diane Black ,diane-black,TN
Stephen Fincher ,stephen-fincher,TN
Scott Rigell ,scott-rigell,VA
David B. McKinley ,david-mckinley,WV
Christopher A. Coons,christopher-a-coons,DE
Barack Obama,barack-obama,IL
Bill Richardson,bill-richardson,NM
Hillary Rodham Clinton,hillary-clinton,NY
John Edwards,john-edwards,NC
Mike Gravel,mike-gravel,AK
Rudolph W. Giuliani,rudy-giuliani,NY
Mike Huckabee,mike-huckabee,AR
Duncan Hunter,duncan-hunter,CA
Mitt Romney,mitt-romney,MA
Tom Tancredo,tom-tancredo,CO
Tommy Thompson,tommy-thompson,WI
Fred Thompson,fred-thompson,TN
Mark Zydanowicz,mark-zydanowicz,CT
Ann Brickley,ann-brickley,CT
Joseph B. Visconti,joseph-b-visconti,CT
Matthew Moulton Daly,matthew-moulton-daly,CT
Wesley Martin Mullen,wesley-martin-mullen,CT
Daniel J. Reale,daniel-j-reale,CT
Doug Dubitsky,doug-dubitsky,CT
Janet Peckinpaugh,janet-peckinpaugh,CT
Daria Novak,daria-novak,CT
Scott Deshefy,scott-deshefy,CT
